Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Latitude;Longitude;Nom communes équipées
18003;Cimetière de Montmartre;SANN;43;41;2;2;0;SANN;SANN;2022-10-05;48,88647247;2,332890183;Paris
31022;Mairie de Montreuil;SANN;52;10;41;13;28;SANN;SANN;2022-10-05;48,86131453;2,440614402;Montreuil
11113;Richard Lenoir - Republique;SANN;58;53;2;1;1;SANN;SANN;2022-10-05;48,8667175;2,3692541;Paris
19101;Square Simon Bolivar;SANN;24;22;0;0;0;SANN;SANN;2022-10-05;48,87508989;2,382630408;Paris
10016;Récollets - Square Villemin;SANN;17;17;0;0;0;SANN;SANN;2022-10-05;48,87503466;2,359801239;Paris
21212;Marne - Germain Dardan;SANN;22;10;11;7;4;SANN;SANN;2022-10-05;48,8115427;2,303070724;Montrouge
41302;Charles de Gaulle - Beauté;SANN;49;34;15;1;14;SANN;SANN;2022-10-05;48,83649602;2,479562651;Nogent-sur-Marne
42706;Roger Salengro - Fontainebleau;SANN;25;16;8;1;7;SANN;SANN;2022-10-05;48,8145487;2,361166365;Le Kremlin-Bicêtre
33017;Anatole France - President Roosevelt;SANN;29;18;10;9;1;SANN;SANN;2022-10-05;48,9155156;2,3814103;Aubervilliers
20112;Jourdain - Place des Grandes Rigoles;SANN;22;22;0;0;0;SANN;SANN;2022-10-05;48,87403114;2,389594764;Paris
15042;Henry Farman;SANN;16;0;16;11;5;SANN;SANN;2022-10-05;48,8337243;2,271385454;Paris
19044;Grands Moulins de Pantin;SANN;50;35;14;8;6;SANN;SANN;2022-10-05;48,8973837;2,395998538;Paris
8045;Place de la Reine Astrid;SANN;58;5;53;36;17;SANN;SANN;2022-10-05;48,86492098;2,302549182;Paris
18011;Pajol - Place Herbert;SANN;39;34;4;2;2;SANN;SANN;2022-10-05;48,8927825;2,3635598;Paris
13001;Port-Royal - Hôpital du Val-de-Grâce;SANN;18;4;13;8;5;SANN;SANN;2022-10-05;48,83766827;2,344813835;Paris
43008;Fontenay - Libération;SANN;25;24;1;0;1;SANN;SANN;2022-10-05;48,84780306;2,445141971;Vincennes
15104;Hôpital Européen Georges Pompidou;SANN;64;1;61;40;21;SANN;SANN;2022-10-05;48,83769532;2,275374234;Paris
33102;Gabriel Péri - Francisco Ferrer;SANN;18;14;4;0;4;SANN;SANN;2022-10-05;48,8863371;2,407338917;Le Pré-Saint-Gervais
19120;Carducci - Place Hannah Arendt;SANN;27;27;0;0;0;SANN;SANN;2022-10-05;48,87743668;2,386074364;Paris
44006;Concorde - Stalingrad;SANN;35;30;3;2;1;SANN;SANN;2022-10-05;48,7985844;2,3821302;Vitry-sur-Seine
5004;Saint-Jacques - Val de Grâce;SANN;20;5;12;3;9;SANN;SANN;2022-10-05;48,8417514;2,3413893;Paris
15105;Fédération - Suffren;SANN;25;14;11;9;2;SANN;SANN;2022-10-05;48,85282815;2,297877632;Paris
14138;Porte de Vanves;SANN;32;29;3;2;1;SANN;SANN;2022-10-05;48,82801285;2,305687889;Paris
19103;Manin - Carrières d'Amérique;SANN;20;20;0;0;0;SANN;SANN;2022-10-05;48,88467214;2,39196986;Paris
